식품명,대표식품명,탄수화물(g),Gi수치 ,,,,
널담 마카롱 오레오크림치즈,마카롱,47.27,32,,,,
널담 마카롱 죠리퐁라떼,마카롱,61.82,32,,,,
널담 마카롱 청포도요거트,마카롱,43.64,32,,,,
널담 마카롱 초코티라미수,마카롱,40,32,,,,
널담 마카롱 토피넛,마카롱,52.73,32,,,,
널담 마카롱 황치즈,마카롱,41.82,32,,,,
널담 비건마카롱 곡물초코,마카롱,47.5,32,,,,
널담 비건마카롱 녹차초코,마카롱,47.5,32,,,,
널담 비건마카롱 단호박,마카롱,47.5,32,,,,
널담 비건마카롱 딸기,마카롱,45,32,,,,
널담 비건마카롱 블루베리,마카롱,47.5,32,,,,
널담 비건마카롱 헤이즐넛초코,마카롱,27.5,32,,,,
녹차마카롱,마카롱,48.57,32,,,,
녹차치카롱,마카롱,50.29,32,,,,
다크초코가나슈마카롱,마카롱,43.33,32,,,,
다크초코마카롱,마카롱,56.67,32,,,,
다크초콜릿마카롱,마카롱,57.14,32,,,,
다크쵸코마카롱(냉동),마카롱,27,32,,,,
단짠단짠버카롱,마카롱,46.81,32,,,,
단호박마카롱,마카롱,50.57,32,,,,
단호박치카롱,마카롱,45.1,32,,,,
달콤마카롱,마카롱,47.78,32,,,,
달콤마카롱세트,마카롱,46.09,32,,,,
달콤폭발마카롱,마카롱,48.57,32,,,,
달콤한마카롱(딸기얼그레이인절미),마카롱,56.67,32,,,,
더 마카롱,마카롱,45,32,,,,
더블바닐라마카롱,마카롱,66.67,32,,,,
더블치즈마카롱,마카롱,63.11,32,,,,
데코마카롱세트,마카롱,49.17,32,,,,
돌카롱사계:봄,마카롱,50,32,,,,
동원달고나우유마카롱,마카롱,60.87,32,,,,
동원프렌치쁘띠마카롱스트로베리,마카롱,66.67,32,,,,
동원프렌치쁘띠마카롱초코,마카롱,66.67,32,,,,
동원햄버거마카롱,마카롱,47.83,32,,,,
돼지바딸기마카롱,마카롱,55.67,32,,,,
딥초코가나슈마카롱,마카롱,36.67,32,,,,
딸기마카롱,마카롱,52.17,32,,,,
딸기마카롱쿠키,마카롱,57,32,,,,
딸기맛마카롱,마카롱,62.5,32,,,,
딸기우유마카롱,마카롱,60,32,,,,
딸기우유크런키마카롱,마카롱,60.5,32,,,,
딸기크림마카롱,마카롱,60.5,32,,,,
라이언마카롱세트,마카롱,61.76,32,,,,
라임민트라즈베리마카롱,마카롱,52,32,,,,
라임올리브오일마카롱,마카롱,58.33,32,,,,
라즈베리마카롱,마카롱,52,32,,,,
라즈베리타라곤마카롱,마카롱,72.92,32,,,,
러블리데이마카롱기프트,마카롱,69.23,32,,,,
러블리마카롱,마카롱,50.81,32,,,,
레드벨벳마카롱,마카롱,23,32,,,,
레몬마카롱,마카롱,65,32,,,,
레미마틴초콜렛바나나마카롱,마카롱,56,32,,,,
레아치즈마카롱,마카롱,53.33,32,,,,
로열밀크티마카롱,마카롱,40,32,,,,
로투스크런치마카롱,마카롱,60,32,,,,
리얼블루베리마카롱,마카롱,54.44,32,,,,
리얼얼그레이뚱카롱,마카롱,54.67,32,,,,
마담정뉴하트마카롱,마카롱,49.4,32,,,,
마담정컬리벚꽃엔딩마카롱,마카롱,50.27,32,,,,
마담정프렌치마카롱,마카롱,50.93,32,,,,
마담정하트마카롱,마카롱,49.4,32,,,,
마카롱,마카롱,52,32,,,,
마카롱4종혼합세트,마카롱,47.83,32,,,,
마카롱5,마카롱,44.71,32,,,,
마카롱5종세트,마카롱,52,32,,,,
마카롱공화국,마카롱,39,32,,,,
마카롱러스크,마카롱,74.36,32,,,,
마카롱빵과떡,마카롱,38,32,,,,
마카롱에취한밤,마카롱,36.67,32,,,,
마카롱카페와티,마카롱,42,32,,,,
마카롱쿠키,마카롱,66.67,32,,,,
마카롱팔레트,마카롱,69.23,32,,,,
마카롱팔레트미니,마카롱,69.23,32,,,,
마카롱후레이크,마카롱,60,32,,,,
말차레드빈뚱카롱,마카롱,60,32,,,,
말차마카롱,마카롱,48,32,,,,
말차앙버터마카롱,마카롱,60,32,,,,
망고치카롱,마카롱,48.29,32,,,,
메로나마카롱,마카롱,28.57,32,,,,
메론마카롱,마카롱,36,32,,,,
모카마카롱,마카롱,60,32,,,,
밀크마카롱,마카롱,63,32,,,,
밀크초콜릿마카롱,마카롱,50,32,,,,
바나나치카롱,마카롱,50.29,32,,,,
바닐라뚱카롱,마카롱,37.5,32,,,,
바닐라마까롱,마카롱,60,32,,,,
바닐라마카롱,마카롱,60,32,,,,
바닐라밀크초콜릿마카롱,마카롱,48,32,,,,
바닐라통카빈스트로베리마카롱,마카롱,52,32,,,,
벚꽃마카롱,마카롱,73.89,32,,,,
베네수엘라초콜릿마카롱,마카롱,50,32,,,,
베리베리마카롱,마카롱,58.33,32,,,,
베리베리콩포트마카롱,마카롱,60,32,,,,
별난녹차마카롱,마카롱,57.3,32,,,,
별난딸기마카롱,마카롱,60.3,32,,,,
별난블루베리마카롱,마카롱,55.6,32,,,,
별난유자마카롱,마카롱,59.7,32,,,,
별난쵸코마카롱,마카롱,58.1,32,,,,
복숭아요거트마카롱,마카롱,47.25,32,,,,
복숭아우유마카롱,마카롱,43.33,32,,,,
봄꽃마카롱,마카롱,51.43,32,,,,
블랙마카롱,마카롱,57.78,32,,,,
블루베리마카롱,마카롱,60,32,,,,
블루베리요거트마카롱,마카롱,48,32,,,,
블루베리치즈케이크마카롱,마카롱,60,32,,,,
블루베리크림치즈뚱카롱,마카롱,37.5,32,,,,
블루베리크림치즈마카롱,마카롱,43.33,32,,,,
비건마카롱(바닐라),마카롱,40,32,,,,
비건마카롱(블루베리),마카롱,37.14,32,,,,
빌리엔젤프렌치마카롱SET1,마카롱,43,32,,,,
빌리엔젤프렌치마카롱SET3,마카롱,57,32,,,,
사그램다크쇼콜라마카롱,마카롱,40,32,,,,
사그램리얼베리마카롱,마카롱,45,32,,,,
사그램솔티카라멜마카롱,마카롱,40,32,,,,
사그램인절미마카롱,마카롱,40,32,,,,
산딸기마카롱,마카롱,66.67,32,,,,
삼분의일당마카롱,마카롱,26.09,32,,,,
삼육두유쫀득한마카롱,마카롱,55.14,32,,,,
상큼딸기마카롱(냉동),마카롱,48.57,32,,,,
상큼마카롱세트,마카롱,45.65,32,,,,
새콤유자킹카롱쿨,마카롱,51,32,,,,
석류마카롱,마카롱,50.3,32,,,,
솔트캐러멜마카롱,마카롱,48,32,,,,
솔티드바닐라마카롱,마카롱,45.33,32,,,,
솔티드카라멜마카롱,마카롱,64.72,32,,,,
솔티드카라멜버터마카롱,마카롱,60,32,,,,
솔티카라멜뚱카롱,마카롱,47.5,32,,,,
솔티카라멜마카롱,마카롱,35,32,,,,
쇼콜라마카롱,마카롱,60,32,,,,
쇼콜라크림마카롱,마카롱,62.78,32,,,,
수제딸기우유마카롱,마카롱,50,32,,,,
수제뚱카롱세트5구,마카롱,45.71,32,,,,
수제로투스마카롱,마카롱,53.33,32,,,,
수제말차마카롱,마카롱,53.33,32,,,,
수제바닐라마카롱,마카롱,46.67,32,,,,
수제복숭아마카롱,마카롱,50,32,,,,
수제블루베리요거트마카롱,마카롱,53.33,32,,,,
수제순우유마카롱,마카롱,46.67,32,,,,
수제쑥팥마카롱,마카롱,50,32,,,,
수제얼그레이마카롱,마카롱,53.33,32,,,,
수제와인무화과마카롱,마카롱,46.67,32,,,,
수제초코마카롱,마카롱,46.67,32,,,,
순수밀크마카롱,마카롱,32.14,32,,,,
순수바닐라마카롱,마카롱,45.43,32,,,,
순수우유마카롱,마카롱,47.33,32,,,,
순정마카롱세트,마카롱,40.91,32,,,,
스위트카라멜마카롱,마카롱,56.67,32,,,,
